City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
92,atasu,48.6814,71.6433,15.0,26,51,6.03,KZ,2023-04-05 09:00:00
93,ostrovnoy,68.0531,39.5131,-0.68,82,99,5.16,RU,2023-04-05 09:00:00
94,ancud,-41.8697,-73.8203,13.3,89,100,7.22,CL,2023-04-05 09:00:00
95,qeshm,26.9581,56.2719,25.52,61,0,2.58,IR,2023-04-05 09:00:00
96,saint george,37.1041,-113.5841,1.68,59,0,1.97,US,2023-04-05 09:00:00
97,bathsheba,13.2167,-59.5167,26.11,74,29,7.33,BB,2023-04-05 09:00:00
98,talnakh,69.4865,88.3972,-9.55,86,100,7.12,RU,2023-04-05 09:00:00
99,inuvik,68.3499,-133.7218,-13.9,89,83,3.12,CA,2023-04-05 09:00:00
100,sola,-13.8833,167.55,28.04,74,68,3.28,VU,2023-04-05 09:00:00
101,anupgarh,29.1911,73.2086,32.17,26,0,1.22,IN,2023-04-05 09:00:00
102,east brainerd,34.9959,-85.1502,20.38,90,83,3.64,US,2023-04-05 09:00:00
103,stuttgart,48.7823,9.177,5.06,72,21,1.31,DE,2023-04-05 09:00:00
104,marzuq,14.4,46.4667,27.94,39,60,2.48,YE,2023-04-05 09:00:00
105,dunhua,43.3725,128.2425,9.27,43,100,3.72,CN,2023-04-05 09:00:00
106,kodiak,57.79,-152.4072,2.27,94,100,2.63,US,2023-04-05 09:00:00
107,upernavik,72.7868,-56.1549,-31.98,99,43,2.98,GL,2023-04-05 09:00:00
108,ponta do sol,32.6667,-17.1,17.39,63,43,6.47,PT,2023-04-05 09:00:00
109,hithadhoo,-0.6,73.0833,28.13,70,7,2.07,MV,2023-04-05 09:00:00
110,fort nelson,58.8053,-122.7002,-2.43,60,83,1.05,CA,2023-04-05 09:00:00
111,mapiri,-15.25,-68.1667,19.35,100,97,0.09,BO,2023-04-05 09:00:00
112,mareeba,-17.0,145.4333,27.96,78,100,1.83,AU,2023-04-05 09:00:00
113,longyearbyen,78.2186,15.6401,-11.53,69,33,3.54,SJ,2023-04-05 09:00:00
114,babol,36.5513,52.679,16.47,74,8,7.0,IR,2023-04-05 09:00:00
115,wasilla,61.5814,-149.4394,0.46,83,100,1.19,US,2023-04-05 09:00:00
116,paciran,-6.8767,112.3761,28.77,70,85,2.86,ID,2023-04-05 09:00:00
117,altamira,-3.2033,-52.2064,22.04,99,91,0.85,BR,2023-04-05 09:00:00
118,morbegno,46.1383,9.57,9.82,41,54,1.62,IT,2023-04-05 09:00:00
119,yellowknife,62.456,-114.3525,-15.18,81,9,3.8,CA,2023-04-05 09:00:00
120,aklavik,68.2191,-135.0107,-13.9,94,100,3.4,CA,2023-04-05 09:00:00
121,lewistown,40.5992,-77.5714,13.66,94,60,1.28,US,2023-04-05 09:00:00
122,asau,46.4333,26.4,2.98,90,100,2.78,RO,2023-04-05 09:00:00
123,carnarvon,-24.8667,113.6333,23.88,62,0,8.28,AU,2023-04-05 09:00:00
